Medidor	Localizacao	Tipo de Fluido	Data	Horario	Indice	Indice antigo	Consumo	Unid._levant.	Bateria	Ha desmontagem/corte	Houve desmontagem/corte	Ha vazamento	Ha fraude magnetica	Houve fraude magnetica	Ha medidor bloqueado	Retorno de agua excedido
49.79648639470752	72.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
2.329999999999984	72.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
0	73.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
0	73.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
26.683503109151157	74.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
1.5720000000000027	74.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
60.944139889746666	81.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
4.471000000000004	81.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
52.21317411245879	82.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
2.920000000000016	82.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
48.515460198456225	83.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
2.8039999999999736	83.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
29.22738491731019	84.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
1.8350000000000364	84.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
125.62233486218405	91.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.34800000000007	91.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
73.4636725027562	92.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
4.464999999999975	92.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
74.59933402425538	93.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
4.996999999999957	93.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
173.10207175303196	94.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
13.884999999999991	94.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
46.625719426680895	101.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.4589999999999463	101.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
79.06021248070613	102.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
5.1340000000000146	102.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
89.97164837927251	103.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
5.747000000000014	103.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
261.7926939360524	104.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
20.521999999999935	104.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
32.47991951488413	111.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
2.1709999999999923	111.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
0	112.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
0	112.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
45.82621371554612	113.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.9990000000000236	113.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
54.802482381477496	114.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
4.798000000000002	114.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
33.11588996692376	121.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
2.759999999999991	121.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
2.0441907386986977	122.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
0.22399999999998954	122.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
201.27556277838923	123.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
9.588999999999942	123.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
35.7960511576626	124.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
2.5	124.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
68.93919700110223	131.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
6.451000000000022	131.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
67.17665031973493	132.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
5.270999999999958	132.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
1.7716319735395945	133.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
0.13200000000006185	133.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
64.42380679162132	134.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.8590000000000373	134.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
64.51465971334068	141.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.225999999999999	141.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
62.78845420066153	142.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.5579999999999927	142.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
59.4632372657118	143.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.9200000000000728	143.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
47.69778390297736	144.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
4.232000000000028	144.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
49.81465697905186	151.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.334000000000003	151.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
62.68851598676962	152.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.7770000000000152	152.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
36.795433296582246	153.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
2.3760000000000048	153.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
28.673182094818138	154.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
2.186000000000007	154.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
35.64160119073872	161.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
2.282000000000039	161.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
57.346364189636276	162.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
4.0020000000000095	162.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
103.42696608599742	163.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
5.75	163.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
36.377509856670514	164.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
2.8910000000000196	164.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
64.13307744211659	171.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
